hour,day,month,day_of_week,is_weekend,previous_consumption,Global_active_power
18,21,12,3,0,1.7526333333333333,2.4433000000000002
19,21,12,3,0,2.4433000000000002,2.1971333333333334
20,21,12,3,0,2.1971333333333334,2.4373666666666667
21,21,12,3,0,2.4373666666666667,0.9822666666666666
22,21,12,3,0,0.9822666666666666,0.28026666666666666
23,21,12,3,0,0.28026666666666666,0.2704333333333333
0,22,12,4,0,0.2704333333333333,0.2669333333333333
1,22,12,4,0,0.2669333333333333,0.272
2,22,12,4,0,0.272,0.26763333333333333
3,22,12,4,0,0.26763333333333333,0.27386666666666665
4,22,12,4,0,0.27386666666666665,0.26426666666666665
5,22,12,4,0,0.26426666666666665,0.8068333333333334
6,22,12,4,0,0.8068333333333334,0.4796333333333333
7,22,12,4,0,0.4796333333333333,1.7231999999999998
8,22,12,4,0,1.7231999999999998,2.7443999999999997
9,22,12,4,0,2.7443999999999997,1.8963
10,22,12,4,0,1.8963,1.3449666666666669
11,22,12,4,0,1.3449666666666669,1.2525666666666666
12,22,12,4,0,1.2525666666666666,1.2284666666666666
13,22,12,4,0,1.2284666666666666,0.6719
14,22,12,4,0,0.6719,0.8155666666666667
15,22,12,4,0,0.8155666666666667,1.4516333333333333
16,22,12,4,0,1.4516333333333333,1.5712000000000002
17,22,12,4,0,1.5712000000000002,1.4968
18,22,12,4,0,1.4968,2.6869666666666663
19,22,12,4,0,2.6869666666666663,3.9381666666666666
20,22,12,4,0,3.9381666666666666,3.5360666666666662
21,22,12,4,0,3.5360666666666662,4.548666666666667
22,22,12,4,0,4.548666666666667,3.0650666666666666
23,22,12,4,0,3.0650666666666666,2.4191999999999996
0,23,12,5,1,2.4191999999999996,1.6982333333333333
1,23,12,5,1,1.6982333333333333,1.7227999999999999
2,23,12,5,1,1.7227999999999999,1.7007666666666665
3,23,12,5,1,1.7007666666666665,1.7715333333333334
4,23,12,5,1,1.7715333333333334,1.8916
5,23,12,5,1,1.8916,2.2291000000000003
6,23,12,5,1,2.2291000000000003,1.6493666666666666
7,23,12,5,1,1.6493666666666666,4.023366666666666
8,23,12,5,1,4.023366666666666,4.190833333333333
9,23,12,5,1,4.190833333333333,3.2464
10,23,12,5,1,3.2464,2.972166666666667
11,23,12,5,1,2.972166666666667,3.159
12,23,12,5,1,3.159,2.9288000000000003
13,23,12,5,1,2.9288000000000003,3.4063
14,23,12,5,1,3.4063,3.757966666666667
15,23,12,5,1,3.757966666666667,4.0491
16,23,12,5,1,4.0491,4.349100000000001
17,23,12,5,1,4.349100000000001,5.452533333333333
18,23,12,5,1,5.452533333333333,3.8794
19,23,12,5,1,3.8794,4.1178333333333335
20,23,12,5,1,4.1178333333333335,4.1814
21,23,12,5,1,4.1814,3.2884333333333333
22,23,12,5,1,3.2884333333333333,4.327933333333333
23,23,12,5,1,4.327933333333333,5.5624666666666664
0,24,12,6,1,5.5624666666666664,4.0280000000000005
1,24,12,6,1,4.0280000000000005,3.2757
2,24,12,6,1,3.2757,2.303033333333333
3,24,12,6,1,2.303033333333333,1.6067666666666667
4,24,12,6,1,1.6067666666666667,1.5761
5,24,12,6,1,1.5761,1.6319000000000001
6,24,12,6,1,1.6319000000000001,1.8952
7,24,12,6,1,1.8952,1.4764000000000002
8,24,12,6,1,1.4764000000000002,1.4277666666666666
9,24,12,6,1,1.4277666666666666,2.7256666666666667
10,24,12,6,1,2.7256666666666667,2.6753333333333336
11,24,12,6,1,2.6753333333333336,2.0929333333333333
12,24,12,6,1,2.0929333333333333,1.5
13,24,12,6,1,1.5,3.2399333333333336
14,24,12,6,1,3.2399333333333336,1.3715333333333333
15,24,12,6,1,1.3715333333333333,3.0968333333333335
16,24,12,6,1,3.0968333333333335,2.0071333333333334
17,24,12,6,1,2.0071333333333334,1.6864999999999999
18,24,12,6,1,1.6864999999999999,0.5052
19,24,12,6,1,0.5052,0.45403333333333334
20,24,12,6,1,0.45403333333333334,0.4741
21,24,12,6,1,0.4741,0.4840333333333333
22,24,12,6,1,0.4840333333333333,0.4797666666666666
23,24,12,6,1,0.4797666666666666,0.48633333333333334
0,25,12,0,0,0.48633333333333334,0.9995666666666667
1,25,12,0,0,0.9995666666666667,1.2067666666666665
2,25,12,0,0,1.2067666666666665,0.438
3,25,12,0,0,0.438,0.5899666666666668
4,25,12,0,0,0.5899666666666668,0.5786666666666667
5,25,12,0,0,0.5786666666666667,0.6201000000000001
6,25,12,0,0,0.6201000000000001,0.26406666666666667
7,25,12,0,0,0.26406666666666667,0.6768
8,25,12,0,0,0.6768,2.6111
9,25,12,0,0,2.6111,1.4934666666666667
10,25,12,0,0,1.4934666666666667,1.9156666666666666
11,25,12,0,0,1.9156666666666666,3.0446
12,25,12,0,0,3.0446,2.9126
13,25,12,0,0,2.9126,2.2249333333333334
14,25,12,0,0,2.2249333333333334,1.7837333333333334
15,25,12,0,0,1.7837333333333334,1.7403333333333333
16,25,12,0,0,1.7403333333333333,3.8728333333333333
17,25,12,0,0,3.8728333333333333,2.0718
18,25,12,0,0,2.0718,2.4230666666666663
19,25,12,0,0,2.4230666666666663,1.6295
20,25,12,0,0,1.6295,1.9771333333333334
21,25,12,0,0,1.9771333333333334,3.8368666666666664
22,25,12,0,0,3.8368666666666664,4.2148666666666665
23,25,12,0,0,4.2148666666666665,2.592233333333333
0,26,12,1,0,2.592233333333333,2.4242666666666666
1,26,12,1,0,2.4242666666666666,2.4026333333333336
2,26,12,1,0,2.4026333333333336,2.4109333333333334
3,26,12,1,0,2.4109333333333334,2.4490666666666665
4,26,12,1,0,2.4490666666666665,2.9925
5,26,12,1,0,2.9925,2.3877333333333337
6,26,12,1,0,2.3877333333333337,2.3882
7,26,12,1,0,2.3882,3.136066666666667
8,26,12,1,0,3.136066666666667,2.365933333333333
9,26,12,1,0,2.365933333333333,3.5450666666666666
10,26,12,1,0,3.5450666666666666,4.0419
11,26,12,1,0,4.0419,2.3735333333333335
12,26,12,1,0,2.3735333333333335,2.4647
13,26,12,1,0,2.4647,2.8868
14,26,12,1,0,2.8868,3.8266
15,26,12,1,0,3.8266,2.6296000000000004
16,26,12,1,0,2.6296000000000004,3.4507333333333334
17,26,12,1,0,3.4507333333333334,3.3423333333333334
18,26,12,1,0,3.3423333333333334,3.2466999999999997
19,26,12,1,0,3.2466999999999997,3.034
20,26,12,1,0,3.034,3.479
21,26,12,1,0,3.479,2.6584
22,26,12,1,0,2.6584,0.8636
23,26,12,1,0,0.8636,0.7682
0,27,12,2,0,0.7682,0.4829666666666667
1,27,12,2,0,0.4829666666666667,0.49346666666666666
2,27,12,2,0,0.49346666666666666,0.4795
3,27,12,2,0,0.4795,0.4441333333333333
4,27,12,2,0,0.4441333333333333,0.47403333333333336
5,27,12,2,0,0.47403333333333336,1.0365333333333333
6,27,12,2,0,1.0365333333333333,0.4744
7,27,12,2,0,0.4744,2.049866666666667
8,27,12,2,0,2.049866666666667,2.164733333333333
9,27,12,2,0,2.164733333333333,2.3289666666666666
10,27,12,2,0,2.3289666666666666,2.3169666666666666
11,27,12,2,0,2.3169666666666666,1.3156
12,27,12,2,0,1.3156,1.0784
13,27,12,2,0,1.0784,0.26416666666666666
14,27,12,2,0,0.26416666666666666,0.2638333333333333
15,27,12,2,0,0.2638333333333333,0.3332
16,27,12,2,0,0.3332,0.2968
17,27,12,2,0,0.2968,0.5012666666666666
18,27,12,2,0,0.5012666666666666,1.8244
19,27,12,2,0,1.8244,1.7362666666666666
20,27,12,2,0,1.7362666666666666,2.3531
21,27,12,2,0,2.3531,1.3297333333333334
22,27,12,2,0,1.3297333333333334,1.0835000000000001
23,27,12,2,0,1.0835000000000001,0.35350000000000004
0,28,12,3,0,0.35350000000000004,1.0185333333333333
1,28,12,3,0,1.0185333333333333,0.27773333333333333
2,28,12,3,0,0.27773333333333333,0.31616666666666665
3,28,12,3,0,0.31616666666666665,0.2988
4,28,12,3,0,0.2988,0.3101
5,28,12,3,0,0.3101,0.2894
6,28,12,3,0,0.2894,0.29256666666666664
7,28,12,3,0,0.29256666666666664,1.0433333333333334
8,28,12,3,0,1.0433333333333334,2.5357333333333334
9,28,12,3,0,2.5357333333333334,1.3215333333333334
10,28,12,3,0,1.3215333333333334,0.32606666666666667
11,28,12,3,0,0.32606666666666667,0.2799333333333333
12,28,12,3,0,0.2799333333333333,0.271
13,28,12,3,0,0.271,0.6986333333333333
14,28,12,3,0,0.6986333333333333,1.8085666666666667
15,28,12,3,0,1.8085666666666667,1.5743333333333334
16,28,12,3,0,1.5743333333333334,1.5589666666666666
17,28,12,3,0,1.5589666666666666,2.432533333333333
18,28,12,3,0,2.432533333333333,2.5439
19,28,12,3,0,2.5439,2.8485
20,28,12,3,0,2.8485,2.1167666666666665
21,28,12,3,0,2.1167666666666665,5.035333333333333
22,28,12,3,0,5.035333333333333,3.2142
23,28,12,3,0,3.2142,2.131333333333333
0,29,12,4,0,2.131333333333333,1.4093333333333333
1,29,12,4,0,1.4093333333333333,1.9941666666666669
2,29,12,4,0,1.9941666666666669,2.1516333333333337
3,29,12,4,0,2.1516333333333337,2.4526666666666666
4,29,12,4,0,2.4526666666666666,2.471433333333333
5,29,12,4,0,2.471433333333333,2.3861
6,29,12,4,0,2.3861,2.4389
7,29,12,4,0,2.4389,3.8387666666666664
8,29,12,4,0,3.8387666666666664,3.6947666666666668
9,29,12,4,0,3.6947666666666668,3.4349
10,29,12,4,0,3.4349,2.4225333333333334
11,29,12,4,0,2.4225333333333334,1.3891666666666667
12,29,12,4,0,1.3891666666666667,1.5557333333333332
13,29,12,4,0,1.5557333333333332,1.7093333333333334
14,29,12,4,0,1.7093333333333334,1.4185
15,29,12,4,0,1.4185,0.6281
16,29,12,4,0,0.6281,0.31786666666666663
17,29,12,4,0,0.31786666666666663,0.8924
18,29,12,4,0,0.8924,1.8926333333333332
19,29,12,4,0,1.8926333333333332,1.7913333333333334
20,29,12,4,0,1.7913333333333334,3.4718333333333335
21,29,12,4,0,3.4718333333333335,4.313733333333333
22,29,12,4,0,4.313733333333333,3.666033333333333
23,29,12,4,0,3.666033333333333,1.1646666666666665
0,30,12,5,1,1.1646666666666665,0.29469999999999996
1,30,12,5,1,0.29469999999999996,0.31529999999999997
2,30,12,5,1,0.31529999999999997,0.2794333333333333
3,30,12,5,1,0.2794333333333333,0.3057666666666667
4,30,12,5,1,0.3057666666666667,0.30093333333333333
5,30,12,5,1,0.30093333333333333,0.2778333333333334
6,30,12,5,1,0.2778333333333334,0.9067666666666666
7,30,12,5,1,0.9067666666666666,0.25656666666666667
8,30,12,5,1,0.25656666666666667,1.5167333333333335
9,30,12,5,1,1.5167333333333335,3.2357666666666662
10,30,12,5,1,3.2357666666666662,4.664793103448276
11,30,12,5,1,4.664793103448276,3.8858666666666664
12,30,12,5,1,3.8858666666666664,3.1451
13,30,12,5,1,3.1451,2.2929666666666666
14,30,12,5,1,2.2929666666666666,1.7899333333333334
15,30,12,5,1,1.7899333333333334,2.4495333333333336
16,30,12,5,1,2.4495333333333336,3.955566666666667
17,30,12,5,1,3.955566666666667,2.581166666666667
18,30,12,5,1,2.581166666666667,3.8627
19,30,12,5,1,3.8627,3.753033333333333
20,30,12,5,1,3.753033333333333,3.0760666666666667
21,30,12,5,1,3.0760666666666667,2.038
22,30,12,5,1,2.038,0.7491333333333333
23,30,12,5,1,0.7491333333333333,0.7102
0,31,12,6,1,0.7102,0.6762333333333334
1,31,12,6,1,0.6762333333333334,0.7161666666666666
2,31,12,6,1,0.7161666666666666,0.7219333333333334
3,31,12,6,1,0.7219333333333334,0.7785666666666666
4,31,12,6,1,0.7785666666666666,1.2777666666666667
5,31,12,6,1,1.2777666666666667,1.0507666666666666
6,31,12,6,1,1.0507666666666666,2.5013666666666667
7,31,12,6,1,2.5013666666666667,3.3645
8,31,12,6,1,3.3645,4.0845666666666665
9,31,12,6,1,4.0845666666666665,2.7232
10,31,12,6,1,2.7232,2.914933333333333
11,31,12,6,1,2.914933333333333,3.3594999999999997
12,31,12,6,1,3.3594999999999997,3.8529666666666667
13,31,12,6,1,3.8529666666666667,3.6025666666666667
14,31,12,6,1,3.6025666666666667,3.0812999999999997
15,31,12,6,1,3.0812999999999997,2.4882666666666666
16,31,12,6,1,2.4882666666666666,2.838
17,31,12,6,1,2.838,2.7502666666666666
18,31,12,6,1,2.7502666666666666,2.4104666666666663
19,31,12,6,1,2.4104666666666663,2.434266666666667
20,31,12,6,1,2.434266666666667,2.4249333333333336
21,31,12,6,1,2.4249333333333336,2.443633333333333
22,31,12,6,1,2.443633333333333,2.636
23,31,12,6,1,2.636,3.104433333333333
0,1,1,0,0,3.104433333333333,2.5506333333333333
1,1,1,0,0,2.5506333333333333,2.5234
2,1,1,0,0,2.5234,2.582333333333333
3,1,1,0,0,2.582333333333333,2.5416666666666665
4,1,1,0,0,2.5416666666666665,2.4757333333333333
5,1,1,0,0,2.4757333333333333,2.4762333333333335
6,1,1,0,0,2.4762333333333335,2.4558000000000004
7,1,1,0,0,2.4558000000000004,2.4472
8,1,1,0,0,2.4472,2.441733333333333
9,1,1,0,0,2.441733333333333,3.1461333333333332
10,1,1,0,0,3.1461333333333332,2.6617333333333333
11,1,1,0,0,2.6617333333333333,2.576
12,1,1,0,0,2.576,2.615866666666667
13,1,1,0,0,2.615866666666667,2.1624
14,1,1,0,0,2.1624,1.2944
15,1,1,0,0,1.2944,1.9091666666666667
16,1,1,0,0,1.9091666666666667,1.3901000000000001
17,1,1,0,0,1.3901000000000001,1.6320666666666668
18,1,1,0,0,1.6320666666666668,1.4619
19,1,1,0,0,1.4619,0.7323000000000001
20,1,1,0,0,0.7323000000000001,0.4123
21,1,1,0,0,0.4123,0.43393333333333334
22,1,1,0,0,0.43393333333333334,0.4437333333333333
23,1,1,0,0,0.4437333333333333,0.4499666666666667
0,2,1,1,0,0.4499666666666667,0.44643333333333335
1,2,1,1,0,0.44643333333333335,0.43673333333333336
2,2,1,1,0,0.43673333333333336,0.43156666666666665
3,2,1,1,0,0.43156666666666665,0.46416666666666667
4,2,1,1,0,0.46416666666666667,1.0399666666666667
5,2,1,1,0,1.0399666666666667,0.7106
6,2,1,1,0,0.7106,0.4469666666666667
7,2,1,1,0,0.4469666666666667,0.4125666666666667
8,2,1,1,0,0.4125666666666667,0.45439999999999997
9,2,1,1,0,0.45439999999999997,0.41763333333333336
10,2,1,1,0,0.41763333333333336,0.4459
11,2,1,1,0,0.4459,0.4327666666666667
12,2,1,1,0,0.4327666666666667,0.42596666666666666
13,2,1,1,0,0.42596666666666666,0.45899999999999996
14,2,1,1,0,0.45899999999999996,0.43843333333333334
15,2,1,1,0,0.43843333333333334,1.4381
16,2,1,1,0,1.4381,1.4590666666666665
17,2,1,1,0,1.4590666666666665,2.1362
18,2,1,1,0,2.1362,1.9720666666666666
19,2,1,1,0,1.9720666666666666,1.5183
20,2,1,1,0,1.5183,2.5735333333333332
21,2,1,1,0,2.5735333333333332,1.3214333333333335
22,2,1,1,0,1.3214333333333335,0.5282333333333333
23,2,1,1,0,0.5282333333333333,0.7439
0,3,1,2,0,0.7439,1.1254333333333333
1,3,1,2,0,1.1254333333333333,0.9007000000000001
2,3,1,2,0,0.9007000000000001,0.30483333333333335
3,3,1,2,0,0.30483333333333335,0.33330000000000004
4,3,1,2,0,0.33330000000000004,0.29883333333333334
5,3,1,2,0,0.29883333333333334,0.9516333333333333
6,3,1,2,0,0.9516333333333333,0.3343333333333333
7,3,1,2,0,0.3343333333333333,0.3017
8,3,1,2,0,0.3017,0.3196
9,3,1,2,0,0.3196,0.6024999999999999
10,3,1,2,0,0.6024999999999999,0.8742333333333333
11,3,1,2,0,0.8742333333333333,0.9763999999999999
12,3,1,2,0,0.9763999999999999,1.3977666666666666
13,3,1,2,0,1.3977666666666666,1.4199333333333333
14,3,1,2,0,1.4199333333333333,1.0903666666666667
15,3,1,2,0,1.0903666666666667,0.302
16,3,1,2,0,0.302,0.36766666666666664
17,3,1,2,0,0.36766666666666664,0.28513333333333335
18,3,1,2,0,0.28513333333333335,0.3612
19,3,1,2,0,0.3612,0.289
20,3,1,2,0,0.289,0.32626666666666665
21,3,1,2,0,0.32626666666666665,1.1154333333333333
22,3,1,2,0,1.1154333333333333,0.9540333333333333
23,3,1,2,0,0.9540333333333333,1.6686
0,4,1,3,0,1.6686,3.3750666666666667
1,4,1,3,0,3.3750666666666667,2.896733333333333
2,4,1,3,0,2.896733333333333,2.3873333333333333
3,4,1,3,0,2.3873333333333333,2.3620333333333337
4,4,1,3,0,2.3620333333333337,2.370033333333333
5,4,1,3,0,2.370033333333333,2.3451999999999997
6,4,1,3,0,2.3451999999999997,2.3587333333333333
7,4,1,3,0,2.3587333333333333,2.3262333333333336
8,4,1,3,0,2.3262333333333336,2.4038
9,4,1,3,0,2.4038,2.6670666666666665
10,4,1,3,0,2.6670666666666665,1.8980333333333335
11,4,1,3,0,1.8980333333333335,2.006333333333333
12,4,1,3,0,2.006333333333333,4.066566666666667
13,4,1,3,0,4.066566666666667,3.5450666666666666
14,4,1,3,0,3.5450666666666666,2.0132
15,4,1,3,0,2.0132,0.8793000000000001
16,4,1,3,0,0.8793000000000001,3.2898
17,4,1,3,0,3.2898,2.7413000000000003
18,4,1,3,0,2.7413000000000003,2.6055
19,4,1,3,0,2.6055,2.8540666666666668
20,4,1,3,0,2.8540666666666668,1.4985333333333335
21,4,1,3,0,1.4985333333333335,0.4788
22,4,1,3,0,0.4788,0.4196666666666667
23,4,1,3,0,0.4196666666666667,0.5351333333333332
0,5,1,4,0,0.5351333333333332,1.9680333333333333
1,5,1,4,0,1.9680333333333333,2.3868333333333336
2,5,1,4,0,2.3868333333333336,2.3947333333333334
3,5,1,4,0,2.3947333333333334,2.4157
4,5,1,4,0,2.4157,2.3970333333333333
5,5,1,4,0,2.3970333333333333,2.407366666666667
6,5,1,4,0,2.407366666666667,2.3678000000000003
7,5,1,4,0,2.3678000000000003,2.3515333333333337
8,5,1,4,0,2.3515333333333337,2.316933333333333
9,5,1,4,0,2.316933333333333,2.3642
10,5,1,4,0,2.3642,2.6560333333333332
11,5,1,4,0,2.6560333333333332,0.35583333333333333
12,5,1,4,0,0.35583333333333333,0.3544
13,5,1,4,0,0.3544,0.34176666666666666
14,5,1,4,0,0.34176666666666666,0.37733333333333335
15,5,1,4,0,0.37733333333333335,0.4778333333333334
16,5,1,4,0,0.4778333333333334,0.8364999999999999
17,5,1,4,0,0.8364999999999999,2.240733333333333
18,5,1,4,0,2.240733333333333,2.3996
19,5,1,4,0,2.3996,2.0389
20,5,1,4,0,2.0389,2.9757000000000002
21,5,1,4,0,2.9757000000000002,2.6744
22,5,1,4,0,2.6744,2.3847
23,5,1,4,0,2.3847,1.7388333333333332
0,6,1,5,1,1.7388333333333332,1.4930666666666668
1,6,1,5,1,1.4930666666666668,0.43346666666666667
2,6,1,5,1,0.43346666666666667,0.3333333333333333
3,6,1,5,1,0.3333333333333333,0.3128666666666666
4,6,1,5,1,0.3128666666666666,0.30356666666666665
5,6,1,5,1,0.30356666666666665,0.33526666666666666
6,6,1,5,1,0.33526666666666666,0.29873333333333335
7,6,1,5,1,0.29873333333333335,0.33699999999999997
8,6,1,5,1,0.33699999999999997,0.2954
9,6,1,5,1,0.2954,0.6231333333333333
10,6,1,5,1,0.6231333333333333,1.5255666666666667
11,6,1,5,1,1.5255666666666667,2.5922
12,6,1,5,1,2.5922,4.002933333333333
13,6,1,5,1,4.002933333333333,1.8904333333333334
14,6,1,5,1,1.8904333333333334,1.6995666666666667
15,6,1,5,1,1.6995666666666667,1.1487
16,6,1,5,1,1.1487,0.8812666666666666
17,6,1,5,1,0.8812666666666666,0.8989666666666667
18,6,1,5,1,0.8989666666666667,0.8555333333333334
19,6,1,5,1,0.8555333333333334,1.8340333333333334
20,6,1,5,1,1.8340333333333334,1.0151333333333334
21,6,1,5,1,1.0151333333333334,1.0125333333333333
22,6,1,5,1,1.0125333333333333,0.5116666666666666
23,6,1,5,1,0.5116666666666666,0.5052666666666666
0,7,1,6,1,0.5052666666666666,0.9032
1,7,1,6,1,0.9032,0.29643333333333327
2,7,1,6,1,0.29643333333333327,0.35240000000000005
3,7,1,6,1,0.35240000000000005,0.2986666666666667
4,7,1,6,1,0.2986666666666667,0.35586666666666666
5,7,1,6,1,0.35586666666666666,0.28536666666666666
6,7,1,6,1,0.28536666666666666,0.3383
7,7,1,6,1,0.3383,0.3127333333333333
8,7,1,6,1,0.3127333333333333,0.3100333333333333
9,7,1,6,1,0.3100333333333333,0.37560000000000004
10,7,1,6,1,0.37560000000000004,1.0414333333333332
11,7,1,6,1,1.0414333333333332,1.0684333333333333
12,7,1,6,1,1.0684333333333333,0.5515666666666666
13,7,1,6,1,0.5515666666666666,3.331933333333333
14,7,1,6,1,3.331933333333333,2.5330999999999997
15,7,1,6,1,2.5330999999999997,3.770766666666667
16,7,1,6,1,3.770766666666667,2.2807666666666666
17,7,1,6,1,2.2807666666666666,2.404733333333333
18,7,1,6,1,2.404733333333333,5.211533333333334
19,7,1,6,1,5.211533333333334,2.9164666666666665
20,7,1,6,1,2.9164666666666665,3.5232
21,7,1,6,1,3.5232,4.738366666666667
22,7,1,6,1,4.738366666666667,2.1289
23,7,1,6,1,2.1289,1.4638666666666666
0,8,1,0,0,1.4638666666666666,1.3604666666666667
1,8,1,0,0,1.3604666666666667,1.3506666666666667
2,8,1,0,0,1.3506666666666667,1.3848333333333334
3,8,1,0,0,1.3848333333333334,1.3569
4,8,1,0,0,1.3569,1.3759000000000001
5,8,1,0,0,1.3759000000000001,1.1045333333333334
